Date,Sales,Display Spends,Video Spends,Social Spends
1-Jul,2635.77,1.90,0.00,586.92
2-Jul,1486.10,12.04,0.00,577.07
3-Jul,0.00,74.75,0.00,558.67
4-Jul,0.00,158.36,0.00,529.50
5-Jul,3530.78,198.26,0.00,545.41
6-Jul,2655.92,132.08,0.00,618.97
7-Jul,3813.40,120.29,0.00,609.20
8-Jul,2765.82,111.80,0.00,259.99
9-Jul,2975.61,117.48,0.00,249.91
10-Jul,84.12,528.76,0.00,499.37
11-Jul,0.00,499.81,0.00,509.31
12-Jul,4460.05,454.13,0.00,500.30
13-Jul,3878.49,402.53,0.00,499.33
14-Jul,2377.36,399.41,0.00,378.77
15-Jul,1915.67,408.26,0.00,414.75
16-Jul,2949.96,390.96,98.82,734.65
17-Jul,84.12,446.80,151.09,823.29
18-Jul,0.00,393.41,150.02,823.61
19-Jul,3638.71,413.69,898.25,818.89
20-Jul,0.00,458.32,886.57,830.81
21-Jul,3523.26,417.39,878.76,581.22
22-Jul,2999.10,537.50,867.12,527.86
23-Jul,2732.11,625.42,651.74,515.75
24-Jul,280.39,701.17,896.31,708.10
25-Jul,0.00,703.78,884.91,729.83
26-Jul,4203.20,594.36,878.43,616.71
27-Jul,2735.89,505.85,842.93,611.21
28-Jul,1862.21,537.29,660.78,622.02
29-Jul,3520.68,487.91,1084.25,953.93
30-Jul,1179.93,491.78,1068.70,939.46
31-Jul,0.00,444.74,1038.07,939.39
1-Aug,0.00,568.97,818.32,872.21
2-Aug,5005.52,527.78,138.01,672.16
3-Aug,2362.10,545.02,138.62,623.76
4-Aug,2088.78,1246.36,137.33,878.40
5-Aug,2990.42,962.62,136.01,772.70
6-Aug,1960.50,886.51,240.94,853.29
7-Aug,0.00,855.03,343.86,871.67
8-Aug,0.00,773.45,353.70,828.83
9-Aug,84.12,557.67,350.89,817.83
10-Aug,4385.38,681.21,345.90,806.89
11-Aug,3132.65,603.69,335.68,841.85
12-Aug,2478.03,603.47,340.95,891.14
13-Aug,1978.25,608.44,387.64,883.27
14-Aug,0.00,656.23,1110.64,947.35
15-Aug,0.00,711.70,730.48,1177.99
16-Aug,3245.17,701.74,775.78,1016.11
17-Aug,2603.57,806.65,869.61,1018.19
18-Aug,2517.44,1074.17,606.00,906.55
19-Aug,2683.22,1135.72,505.41,885.02
20-Aug,2780.16,1367.07,499.37,760.90
21-Aug,598.16,1299.93,498.00,901.83
22-Aug,0.00,1346.48,492.93,1115.70
23-Aug,3504.43,1609.47,489.51,804.68
24-Aug,3012.69,1565.09,506.74,730.16
25-Aug,2259.28,2025.68,501.94,699.22
26-Aug,2087.31,1884.34,495.59,766.03
27-Aug,2221.94,1897.43,567.69,764.49
28-Aug,56.07,1887.07,1084.23,753.38
29-Aug,0.00,1864.96,1080.93,1123.37
30-Aug,3247.06,2640.83,1005.94,742.40
31-Aug,2542.67,1038.24,901.28,734.06
1-Sep,4135.13,1079.13,905.94,398.90
2-Sep,2341.34,1032.66,901.91,686.33
3-Sep,2433.32,1003.94,843.63,562.31
4-Sep,116.64,941.37,914.28,658.83
5-Sep,0.00,965.72,899.60,616.14
6-Sep,4293.75,920.98,887.93,475.08
7-Sep,4328.59,979.13,887.16,547.16
8-Sep,1500.07,1032.05,825.62,493.75
9-Sep,2275.32,1126.19,854.32,607.20
10-Sep,2332.71,1024.32,855.66,672.85
11-Sep,349.91,1051.14,900.49,744.38
12-Sep,0.00,973.77,871.02,729.90
13-Sep,2449.35,1117.37,855.44,725.99
14-Sep,2328.75,992.40,882.55,670.41
15-Sep,2665.87,1099.09,865.64,508.81
16-Sep,2167.07,1385.44,854.45,605.89
17-Sep,2575.48,1264.70,846.77,593.67
18-Sep,174.95,1223.60,864.92,724.09
19-Sep,0.00,1200.75,832.81,667.27
20-Sep,2342.21,1065.52,847.33,628.71
21-Sep,2973.90,1021.94,830.43,677.14
22-Sep,2235.44,1076.30,837.38,685.51
23-Sep,3083.78,1122.11,814.58,603.41
24-Sep,1936.90,1115.63,788.66,542.57
25-Sep,233.27,947.11,842.10,560.35
26-Sep,0.00,1005.21,793.31,559.09
27-Sep,4143.66,944.93,808.19,717.73
28-Sep,3365.68,1022.67,770.38,722.02
29-Sep,2733.50,855.25,736.48,694.30
30-Sep,2834.80,870.89,744.73,510.72
1-Oct,2606.32,672.75,629.22,255.49
2-Oct,0.00,690.80,533.43,386.69
3-Oct,0.00,681.10,538.54,403.80
4-Oct,3462.84,676.19,522.00,420.10
5-Oct,3307.74,658.33,569.73,366.78
6-Oct,2477.27,673.18,522.95,365.22
7-Oct,3255.25,667.91,535.67,298.19
8-Oct,3145.01,649.63,547.17,322.17
9-Oct,29.16,500.83,533.21,374.66
10-Oct,0.00,347.97,422.42,519.58
11-Oct,3933.23,247.87,0.00,705.22
12-Oct,2649.12,261.68,23.23,713.09
13-Oct,2484.71,259.51,159.36,749.29
14-Oct,2987.18,397.16,170.52,735.15
15-Oct,2608.30,422.33,117.61,998.74
16-Oct,116.64,250.01,117.89,1007.45
17-Oct,0.00,254.25,117.68,953.37
18-Oct,2903.61,330.04,195.54,762.74
19-Oct,2733.99,304.32,194.62,694.90
20-Oct,2634.97,510.26,193.51,692.66
21-Oct,1781.79,448.24,191.95,715.60
22-Oct,3293.72,461.38,192.12,720.63
23-Oct,29.16,442.83,192.06,728.46
24-Oct,0.00,447.14,190.26,737.45
25-Oct,4329.29,574.86,189.80,690.67
26-Oct,2507.66,515.15,189.42,1091.51
27-Oct,2945.05,477.65,188.72,1360.52
28-Oct,2361.87,508.41,188.90,1369.07
29-Oct,2371.83,537.44,189.83,1343.06
30-Oct,0.00,551.35,190.30,976.60
31-Oct,0.00,683.94,189.94,1133.28